"product_id","name","description","created_at","is_archived","sku"
"b7616e49-f9e8-4696-a2ae-fe8bdcb24f55","Men's Classic Fit T-Shirt","A classic fit t-shirt perfect for everyday wear. Made from 100% cotton for comfort and durability.","2025-05-05 20:08:04.902403",False,"MCF001"
"54aaef2b-d26a-4624-9d02-0a0f750f8f0b","Men's Athletic Performance Tee","A high-performance t-shirt designed for intense workouts. Features moisture-wicking fabric to keep you dry and comfortable.","2025-05-05 20:08:05.396261",False,"MAPT002"
"02019951-6514-4f8d-8ea9-d0e253473f5f","Men's Formal Crew Neck T-Shirt","A stylish crew neck t-shirt perfect for formal occasions. Made from premium cotton for a smooth and elegant look.","2025-05-05 20:08:05.643881",False,"MFCN003"
"f9b7f676-5f39-42e7-94b2-72da37ec2435","Men's Casual V-Neck T-Shirt","A comfortable v-neck t-shirt ideal for casual outings. Soft and breathable fabric ensures all-day comfort.","2025-05-05 20:08:05.848719",False,"MCVN004"
"16fd140a-59be-4aec-9a5d-83b0ed729957","Men's Slim Fit T-Shirt","A slim fit t-shirt that offers a modern and sleek look. Perfect for both casual and semi-formal occasions.","2025-05-05 20:08:06.091701",False,"MSFT005"
"79c0e6be-d908-4e6c-920f-b9238911d79d","Men's Graphic Print T-Shirt","A trendy graphic print t-shirt that adds a stylish touch to your casual wardrobe. Made from soft cotton for comfort.","2025-05-05 20:08:06.30019",False,"MGPT006"
"260a62cd-6cf2-4f91-9952-1169e85a87ce","Men's Long Sleeve T-Shirt","A comfortable long sleeve t-shirt perfect for cooler weather. Made from soft and durable cotton.","2025-05-05 20:08:06.524266",False,"MLST007"
"d259090e-4474-47df-82b1-4dcfa6c5fe1f","Men's Polo T-Shirt","A classic polo t-shirt with a collar and button placket. Ideal for both casual and semi-formal occasions.","2025-05-05 20:08:06.740468",False,"MPT008"
"b8fe5055-9f83-4172-9e0e-d9dd39573580","Men's Raglan Sleeve T-Shirt","A stylish raglan sleeve t-shirt with contrasting sleeves. Perfect for a casual and sporty look.","2025-05-05 20:08:06.942172",False,"MRST009"
"37395930-9204-4e08-a509-b36114321de9","Men's Henley T-Shirt","A classic henley t-shirt with a button-up neckline. Ideal for a casual yet polished look.","2025-05-05 20:08:07.146226",False,"MHT010"
"556f05e6-828e-4e82-917b-2d09c06cd751","Men's Pocket T-Shirt","A casual t-shirt with a chest pocket for a classic look. Made from soft and breathable cotton.","2025-05-05 20:08:07.340863",False,"MPT011"
"155d3ac5-c186-4cc2-8ea1-1df253fcad6e","Men's Striped T-Shirt","A stylish striped t-shirt perfect for a casual yet trendy look. Made from soft and comfortable cotton.","2025-05-05 20:08:07.530424",False,"MST012"
"9fc5f4e3-9f92-4456-b9e0-f3b8d06cd58b","Men's Workout T-Shirt","A high-performance workout t-shirt designed for intense training sessions. Features moisture-wicking fabric to keep you dry.","2025-05-05 20:08:07.715702",False,"MWT013"
"bbe620d8-10c1-41fc-bcb8-b70683449657","Men's Compression T-Shirt","A compression t-shirt designed to support muscles during workouts. Provides a snug fit for enhanced performance.","2025-05-05 20:08:07.907309",False,"MCT014"
"8a63361b-0f29-4564-b39b-6f54badf7c40","Men's Quick-Dry T-Shirt","A quick-dry t-shirt perfect for high-intensity workouts. Keeps you cool and comfortable with its advanced fabric technology.","2025-05-05 20:08:08.098587",False,"MQDT015"
"779042b5-9b33-4152-9c3f-99d391419eda","Men's Running T-Shirt","A lightweight running t-shirt designed for comfort and performance. Features reflective details for safety during night runs.","2025-05-05 20:08:08.304219",False,"MRT016"
"5f65ffae-99c0-42a4-92f6-f99ec4be70fe","Men's Formal V-Neck T-Shirt","A elegant v-neck t-shirt perfect for formal occasions. Made from premium cotton for a refined look.","2025-05-05 20:08:08.533144",False,"MFVN017"
"4eded604-8a97-4376-b135-d3d3cde25975","Men's Sleeveless T-Shirt","A sleeveless t-shirt perfect for hot weather or intense workouts. Made from breathable and lightweight fabric.","2025-05-05 20:08:08.741246",False,"MST018"
"e081ad71-c105-411c-9400-6bf48f62eb11","Men's Muscle T-Shirt","A muscle t-shirt designed to showcase your physique. Perfect for workouts or casual wear.","2025-05-05 20:08:08.95868",False,"MMT019"
"88396672-d1a2-4b53-b0b8-58a0b4498ff0","Men's Tank Top","A stylish tank top perfect for casual wear or workouts. Made from soft and breathable cotton.","2025-05-05 20:08:09.17819",False,"MTT020"
"73c3d7e2-c369-46f1-a4b2-c42a3efc4b72","Men's Crew Neck T-Shirt","A classic crew neck t-shirt perfect for everyday wear. Made from soft and durable cotton.","2025-05-05 20:08:09.437759",False,"MCN021"
"ab4b3314-d245-4ac7-b8f7-64a1d5541684","Men's Short Sleeve Henley T-Shirt","A short sleeve henley t-shirt with a button-up neckline. Perfect for a casual yet polished look.","2025-05-05 20:08:09.668599",False,"MSHT022"
"3667721b-7010-4dc1-8567-a4c232db5657","Men's Long Sleeve Henley T-Shirt","A long sleeve henley t-shirt with a button-up neckline. Ideal for cooler weather and a casual look.","2025-05-05 20:08:09.877813",False,"MLHT023"
"5ed00fa0-2cc9-4cfc-8509-10a6d9900c02","Men's Graphic Print Crew Neck T-Shirt","A trendy graphic print crew neck t-shirt that adds a stylish touch to your casual wardrobe. Made from soft cotton for comfort.","2025-05-05 20:08:10.169092",False,"MGPCN024"
"e8cb7287-a335-4265-8ebc-2d8e2d75da82","Men's Work Boots","Durable and comfortable work boots designed for long hours on the job. Features steel toe protection.","2025-05-05 20:08:10.416576",False,"MWB025"
"1485e459-2834-4142-b49a-3931a3a82635","Men's Safety Shoes","Lightweight and breathable safety shoes with composite toe protection. Ideal for indoor work environments.","2025-05-05 20:08:10.664184",False,"MSS026"
"7706528d-d7df-467e-977d-27562a0e30ae","Men's Work Pants","Durable work pants designed for comfort and flexibility. Features multiple pockets for tools and accessories.","2025-05-05 20:08:10.902325",False,"MWP027"
"ff6cf50e-abfa-425e-b86d-dc340a9dc01d","Men's Work Shirt","A durable work shirt designed for comfort and flexibility. Features breathable fabric and multiple pockets.","2025-05-05 20:08:11.124864",False,"MWS028"
